Indicator	Country	Region	RegionName	FB	NonFBCompValue	Diff	country_mean_DIFF	quartile
eduattain	SVN	SI02	Western Slovenia	12.40778405	36.06575704	23.65797299	17.92943764	4
overQualRate	SVN	SI01	Eastern Slovenia	2.642293117	4.731544825	-2.089251707	-2.230288982	1
overQualRate	SVN	SI02	Western Slovenia	2.30785936	4.679185642	-2.371326282	-2.230288982	1
ShareMig	SWE	SE11	Stockholm	25.99882462	10.3785696		10.3785696	4
ShareMig	SWE	SE12	East Middle Sweden	17.99790485	10.3785696		10.3785696	4
ShareMig	SWE	SE21	Småland with Islands	15.91272047	10.3785696		10.3785696	4
ShareMig	SWE	SE22	South Sweden	21.76906227	10.3785696		10.3785696	4
ShareMig	SWE	SE23	West Sweden	18.38580983	10.3785696		10.3785696	4
ShareMig	SWE	SE31	North Middle Sweden	12.16703367	10.3785696		10.3785696	3
ShareMig	SWE	SE32	Central Norrland	9.975093501	10.3785696		10.3785696	3
ShareMig	SWE	SE33	Upper Norrland	10.35840359	10.3785696		10.3785696	3
ChangeShareMig	SWE	SE11	Stockholm	3.766765594	3.766765594		10.3785696	3
ChangeShareMig	SWE	SE12	East Middle Sweden	4.737995148	4.737995148		10.3785696	4
ChangeShareMig	SWE	SE21	Småland with Islands	5.284223557	5.284223557		10.3785696	4
ChangeShareMig	SWE	SE22	South Sweden	5.292362213	5.292362213		10.3785696	4
ChangeShareMig	SWE	SE23	West Sweden	3.988499641	3.988499641		10.3785696	4
ChangeShareMig	SWE	SE31	North Middle Sweden	4.020256996	4.020256996		10.3785696	4
ChangeShareMig	SWE	SE32	Central Norrland	3.951905727	3.951905727		10.3785696	4
ChangeShareMig	SWE	SE33	Upper Norrland	2.450252056	2.450252056		10.3785696	3
lengthStay	SWE	SE11	Stockholm	41.68606436	58.31393564	16.62787129	8.077642441	2
lengthStay	SWE	SE12	East Middle Sweden	41.63793258	58.36206742	16.72413484	8.077642441	2
lengthStay	SWE	SE21	Småland with Islands	43.32510198	56.67489802	13.34979603	8.077642441	2
lengthStay	SWE	SE22	South Sweden	40.73816341	59.26183659	18.52367318	8.077642441	2
lengthStay	SWE	SE23	West Sweden	38.53030875	61.46969126	22.93938251	8.077642441	2
lengthStay	SWE	SE31	North Middle Sweden	53.93508013	46.06491987	-7.870160266	8.077642441	1
lengthStay	SWE	SE32	Central Norrland	60.52399045	39.47600955	-21.04798091	8.077642441	1
lengthStay	SWE	SE33	Upper Norrland	47.31278835	52.68721165	5.374423302	8.077642441	1
PartRate	SWE	SE11	Stockholm	80.50056357	85.01076485	4.510201277	8.285457611	3
PartRate	SWE	SE12	East Middle Sweden	72.44948828	81.71010291	9.260614632	8.285457611	4
PartRate	SWE	SE21	Småland with Islands	73.67912149	83.49550163	9.816380139	8.285457611	4
PartRate	SWE	SE22	South Sweden	75.7616755	82.40292212	6.641246617	8.285457611	4
PartRate	SWE	SE23	West Sweden	76.624326	83.7408632	7.1165372	8.285457611	4
